City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Ziro,IN,2021-10-10 20:01:36,27.6333,93.8333,54.03,96,9,2.21
68,Chumikan,RU,2021-10-10 20:03:09,54.7183,135.315,37.94,93,100,6.87
69,Yellowknife,CA,2021-10-10 19:58:49,62.456,-114.3525,38.41,99,90,11.5
70,Ahipara,NZ,2021-10-10 20:03:09,-35.1667,173.1667,57.67,67,77,5.91
71,Broome,US,2021-10-10 19:59:44,42.2506,-75.833,70.65,70,100,7.0
72,Palmer,US,2021-10-10 20:03:10,42.1584,-72.3287,64.02,69,90,1.01
73,Ugoofaaru,MV,2021-10-10 19:59:51,5.6667,73.0,83.08,77,78,17.09
74,Berlevag,NO,2021-10-10 20:03:13,70.8578,29.0864,42.75,81,75,10.36
75,Maniitsoq,GL,2021-10-10 19:59:45,65.4167,-52.9,36.54,79,100,11.25
76,Hobart,AU,2021-10-10 20:00:22,-42.8794,147.3294,42.26,83,20,8.05
77,Kavieng,PG,2021-10-10 19:58:49,-2.5744,150.7967,81.88,76,52,6.91
78,Inuvik,CA,2021-10-10 20:03:09,68.3499,-133.7218,30.96,93,90,8.05
79,Hamilton,US,2021-10-10 20:03:14,39.1834,-84.5333,85.05,61,1,1.01
80,Iqaluit,CA,2021-10-10 20:03:15,63.7506,-68.5145,40.69,77,20,4.0
81,Cherskiy,RU,2021-10-10 20:03:15,68.75,161.3,0.37,98,89,5.68
82,Golden,US,2021-10-10 20:03:15,39.7555,-105.2211,69.19,31,40,1.99
83,Basco,PH,2021-10-10 20:03:17,20.4487,121.9702,81.41,90,100,43.44
84,Guanambi,BR,2021-10-10 20:01:45,-14.2233,-42.7814,84.99,42,100,7.16
85,Alice Springs,AU,2021-10-10 20:01:17,-23.7,133.8833,53.15,100,90,10.36
86,Anjozorobe,MG,2021-10-10 20:03:18,-18.4,47.8667,61.12,82,60,2.53
87,Baragua,CU,2021-10-10 20:03:19,21.6967,-78.6328,87.55,56,54,11.79
88,Paranga,RU,2021-10-10 20:03:19,56.7039,49.4047,44.51,92,100,5.46
89,Qaanaaq,GL,2021-10-10 20:03:19,77.484,-69.3632,29.62,90,100,8.3
90,Diego De Almagro,CL,2021-10-10 20:03:20,-26.3667,-70.05,79.29,7,7,11.81
91,Arraial Do Cabo,BR,2021-10-10 20:03:20,-22.9661,-42.0278,66.06,94,90,13.8
92,Rawson,AR,2021-10-10 20:00:53,-43.3002,-65.1023,74.93,29,42,10.67
93,Tiksi,RU,2021-10-10 20:03:20,71.6872,128.8694,28.65,97,100,5.46
94,Ribeira Grande,PT,2021-10-10 20:03:21,38.5167,-28.7,72.0,94,40,14.97
95,Alihe,CN,2021-10-10 20:03:21,50.5667,123.7167,37.2,76,0,7.81
96,Polyarnyye Zori,RU,2021-10-10 20:03:21,67.3661,32.4981,46.58,96,100,3.0
97,Puerto Ayora,EC,2021-10-10 19:58:53,-0.7393,-90.3518,78.76,81,66,7.0
98,Ajaccio,FR,2021-10-10 20:03:22,42.0,8.9167,51.85,54,0,5.75
99,Kruisfontein,ZA,2021-10-10 19:59:05,-34.0033,24.7314,53.51,75,14,7.47
100,Ariquemes,BR,2021-10-10 20:01:52,-9.9133,-63.0408,91.49,43,94,6.2
101,Gusev,RU,2021-10-10 20:03:22,54.5922,22.1997,41.34,68,0,7.67
102,Kaitangata,NZ,2021-10-10 20:03:22,-46.2817,169.8464,50.67,78,100,3.38
103,Flinders,AU,2021-10-10 19:59:48,-34.5833,150.8552,52.21,88,100,5.01
104,Bredasdorp,ZA,2021-10-10 20:03:23,-34.5322,20.0403,56.16,85,54,3.31
105,Churapcha,RU,2021-10-10 20:03:23,62.0025,132.4325,31.96,97,100,9.82
106,Maragogi,BR,2021-10-10 20:02:09,-9.0122,-35.2225,78.08,75,32,8.43
107,Nuuk,GL,2021-10-10 19:59:22,64.1835,-51.7216,34.88,69,100,5.01
108,Touros,BR,2021-10-10 19:58:49,-5.1989,-35.4608,85.1,69,27,12.75
109,Dikson,RU,2021-10-10 19:59:09,73.5069,80.5464,29.89,66,100,22.97
110,Provideniya,RU,2021-10-10 20:03:24,64.3833,-173.3,32.11,74,75,4.47
111,Barrow,US,2021-10-10 19:59:55,71.2906,-156.7887,28.42,74,75,9.22
112,Xuddur,SO,2021-10-10 20:03:25,4.1213,43.8894,75.61,70,83,16.26
113,Severo-Kurilsk,RU,2021-10-10 20:03:26,50.6789,156.125,47.32,94,100,26.11
114,Lavrentiya,RU,2021-10-10 19:59:21,65.5833,-171.0,28.02,81,26,3.44
115,Mehamn,NO,2021-10-10 20:00:52,71.0357,27.8492,42.98,93,40,9.22
116,Yeppoon,AU,2021-10-10 20:03:27,-23.1333,150.7333,60.58,78,1,4.99
117,Alofi,NU,2021-10-10 20:03:27,-19.0595,-169.9187,75.09,94,90,2.3
118,Surt,LY,2021-10-10 20:03:28,31.2089,16.5887,77.25,64,91,6.96
119,Tanabe,JP,2021-10-10 20:03:28,33.7333,135.3667,69.1,85,0,5.21
120,Mastic Beach,US,2021-10-10 20:03:28,40.7668,-72.8521,67.39,90,90,1.01
121,Quatre Cocos,MU,2021-10-10 19:59:11,-20.2078,57.7625,71.71,90,94,8.63
122,Port-Cartier,CA,2021-10-10 20:02:12,50.0334,-66.8654,52.75,77,71,2.1
123,Bonavista,CA,2021-10-10 20:02:56,48.6499,-53.1147,46.11,72,90,29.01
124,Rock Sound,BS,2021-10-10 19:59:31,24.9,-76.2,82.36,71,93,12.03
125,Deputatskiy,RU,2021-10-10 19:58:29,69.3,139.9,19.13,85,100,3.67
126,Codrington,AU,2021-10-10 20:03:29,-38.2667,141.9667,47.21,70,76,10.54
127,Victoria,HK,2021-10-10 20:03:29,22.2855,114.1577,81.25,88,100,8.01
128,Sao Filipe,CV,2021-10-10 20:03:30,14.8961,-24.4956,81.39,70,0,5.61
129,Gaomi,CN,2021-10-10 20:00:26,36.3833,119.7528,53.4,72,90,5.77
130,Aklavik,CA,2021-10-10 19:59:23,68.2191,-135.0107,30.92,86,75,5.75
131,Verkhnetulomskiy,RU,2021-10-10 20:03:30,68.6073,31.7962,42.93,98,100,0.22
132,Dryden,CA,2021-10-10 20:03:31,49.7833,-92.7503,60.01,94,100,7.67
133,Bambous Virieux,MU,2021-10-10 20:03:31,-20.3428,57.7575,71.22,90,92,8.88
134,Longyearbyen,SJ,2021-10-10 20:03:31,78.2186,15.6401,22.84,86,75,6.91
135,Lasa,IT,2021-10-10 20:03:32,46.6166,10.7002,44.51,80,2,7.74
136,Clyde River,CA,2021-10-10 20:03:32,70.4692,-68.5914,32.65,75,99,3.42
137,Nha Trang,VN,2021-10-10 20:00:31,12.25,109.1833,78.8,90,100,4.92
138,Tomatlan,MX,2021-10-10 20:03:32,19.9333,-105.25,88.02,69,100,4.76
139,Acandi,CO,2021-10-10 20:03:33,8.5063,-77.2778,85.73,69,100,3.53
140,Luan,CH,2021-10-10 20:03:33,46.3592,6.9759,42.37,87,0,1.01
141,Sinnamary,GF,2021-10-10 20:03:34,5.3833,-52.95,82.78,76,100,10.45
142,The Valley,AI,2021-10-10 20:03:34,18.217,-63.0578,83.82,78,40,13.8
143,Capalnita,RO,2021-10-10 20:03:34,46.3667,25.5167,34.38,56,82,6.58
144,Saldanha,ZA,2021-10-10 20:00:03,-33.0117,17.9442,61.12,60,83,9.53
145,La Grande,US,2021-10-10 20:02:04,45.3246,-118.0877,55.09,62,91,10.71
146,Bonthe,SL,2021-10-10 20:03:35,7.5264,-12.505,78.85,83,14,6.51
147,Meulaboh,ID,2021-10-10 20:00:57,4.1363,96.1285,76.44,88,100,3.42
148,Belaya Gora,RU,2021-10-10 20:03:35,68.5333,146.4167,19.44,74,100,3.24
149,Chuy,UY,2021-10-10 20:03:36,-33.6971,-53.4616,61.84,76,93,15.9
150,Strezhevoy,RU,2021-10-10 20:03:36,60.7333,77.5889,26.58,72,9,7.4
151,Saint-Philippe,RE,2021-10-10 20:03:36,-21.3585,55.7679,72.95,88,11,7.61
152,Beira,MZ,2021-10-10 20:03:37,-19.8436,34.8389,72.41,81,97,19.35
153,Petropavlovka,RU,2021-10-10 20:03:37,50.6114,105.3196,35.35,66,6,3.11
154,Kasamwa,TZ,2021-10-10 20:03:38,-2.85,32.4333,70.59,76,34,3.51
155,Bengkulu,ID,2021-10-10 20:03:38,-3.8004,102.2655,75.52,90,94,4.16
156,Khawhai,IN,2021-10-10 20:03:39,23.3667,93.1167,59.56,99,79,1.86
157,Dingle,PH,2021-10-10 20:01:34,10.9995,122.6711,76.57,92,93,9.26
158,Bathsheba,BB,2021-10-10 19:59:30,13.2167,-59.5167,83.01,78,40,19.57
159,Udachnyy,RU,2021-10-10 20:03:39,66.4167,112.4,22.96,91,100,18.66
160,Robe,AU,2021-10-10 20:03:40,-37.1833,139.75,50.88,57,84,12.64
161,Ixtapa,MX,2021-10-10 20:00:17,20.7,-105.2,87.22,80,100,1.99
162,Afua,BR,2021-10-10 20:03:40,-0.1567,-50.3867,87.08,63,11,10.74
163,Saint-Pierre,RE,2021-10-10 19:59:52,-21.3393,55.4781,73.04,77,0,4.61
164,Yakeshi,CN,2021-10-10 20:03:41,49.2833,120.7333,34.61,82,0,7.72
165,Zubtsov,RU,2021-10-10 20:03:41,56.1753,34.5894,38.26,77,12,5.48
166,Bumba,CD,2021-10-10 20:03:43,2.1833,22.4667,74.73,85,98,2.68
167,Katsuura,JP,2021-10-10 20:03:43,35.1333,140.3,71.71,72,80,12.97
168,Capao Bonito,BR,2021-10-10 20:03:44,-24.0058,-48.3494,59.92,98,100,8.55
169,Ayan,RU,2021-10-10 20:00:14,56.45,138.1667,40.17,70,100,17.2
170,Biltine,TD,2021-10-10 20:03:44,14.5333,20.9167,89.37,15,13,4.52
171,Una,IN,2021-10-10 20:03:44,20.8167,71.0333,79.74,83,48,3.96
172,Olga,RU,2021-10-10 20:03:45,43.7444,135.2892,49.89,61,99,14.18
173,Chalus,IR,2021-10-10 20:03:45,36.655,51.4204,64.35,74,76,3.51
174,Celestun,MX,2021-10-10 20:03:45,20.8667,-90.4,85.06,67,94,9.86
175,Panjab,AF,2021-10-10 20:03:46,34.388,67.0233,31.24,50,0,5.73
176,Irbil,IQ,2021-10-10 20:03:46,36.1926,44.0106,62.42,19,0,3.44
177,San Juan,AR,2021-10-10 20:03:46,-31.5375,-68.5364,77.92,25,2,14.79
178,Rocha,UY,2021-10-10 20:03:47,-34.4833,-54.3333,60.4,76,100,13.06
179,Shenjiamen,CN,2021-10-10 20:03:47,29.9576,122.298,77.11,85,0,7.96
180,Shingu,JP,2021-10-10 20:03:47,33.7333,135.9833,67.84,90,0,4.59
181,Bethel,US,2021-10-10 20:00:32,41.3712,-73.414,64.69,90,100,1.01
182,Cururupu,BR,2021-10-10 20:03:48,-1.8283,-44.8683,83.41,68,38,6.53
183,Kefamenanu,ID,2021-10-10 20:03:48,-9.4467,124.4781,69.89,77,100,2.84
184,Maguling,PH,2021-10-10 20:03:49,6.095,124.4033,79.32,87,100,5.06
185,Hami,CN,2021-10-10 20:03:49,42.8,93.45,48.78,25,6,7.49
186,Palmas,BR,2021-10-10 20:03:49,-10.2128,-48.3603,91.27,49,20,9.22
187,Khani,GE,2021-10-10 20:03:49,41.9563,42.9566,47.77,75,2,4.43
188,Mackay,AU,2021-10-10 20:03:50,-21.15,149.2,69.04,72,25,7.45
189,Awjilah,LY,2021-10-10 20:03:50,29.1081,21.2869,80.24,25,0,8.59
190,Baruun-Urt,MN,2021-10-10 20:03:50,46.6806,113.2792,34.12,50,0,8.84
191,Cherat,PK,2021-10-10 20:03:51,33.8233,71.8915,58.93,71,8,4.61
192,Svatove,UA,2021-10-10 20:03:51,49.4103,38.1503,46.4,56,95,6.98
193,Mandurah,AU,2021-10-10 20:03:52,-32.55,115.7,57.22,72,100,9.6
194,San Patricio,US,2021-10-10 20:03:52,28.017,-97.5169,96.78,57,42,20.76
195,Umm Lajj,SA,2021-10-10 20:01:47,25.0213,37.2685,87.6,53,0,7.11
196,Constitucion,CL,2021-10-10 20:03:52,-35.3333,-72.4167,60.89,59,0,15.95
197,Sabya,SA,2021-10-10 20:03:53,17.1495,42.6254,88.48,66,14,5.19
198,Cidreira,BR,2021-10-10 19:58:57,-30.1811,-50.2056,65.62,77,100,18.95
199,Havre-Saint-Pierre,CA,2021-10-10 20:03:53,50.2334,-63.5986,50.81,82,86,15.14
200,Antsohihy,MG,2021-10-10 20:03:53,-14.8796,47.9875,74.5,62,16,3.87
201,Yar-Sale,RU,2021-10-10 20:03:54,66.8333,70.8333,27.97,77,38,10.4
202,Yerbogachen,RU,2021-10-10 19:59:22,61.2767,108.0108,30.94,80,99,11.97
203,Mbala,ZM,2021-10-10 20:03:54,-8.8402,31.3659,72.46,29,24,8.3
204,Priargunsk,RU,2021-10-10 20:03:55,50.3691,119.1012,38.01,68,0,7.38
205,Pevek,RU,2021-10-10 20:00:11,69.7008,170.3133,22.14,92,100,7.65
206,Esperance,AU,2021-10-10 20:03:55,-33.8667,121.9,57.78,47,100,20.62
207,Carnarvon,AU,2021-10-10 20:03:55,-24.8667,113.6333,62.67,82,0,14.97
208,Manadhoo,MV,2021-10-10 20:03:56,5.7667,73.3833,82.92,78,76,17.49
209,Nortelandia,BR,2021-10-10 20:03:56,-14.4547,-56.8028,90.05,42,77,2.73
210,Luoyang,CN,2021-10-10 20:03:56,34.6836,112.4536,53.76,71,100,4.5
211,Adrar,MR,2021-10-10 20:03:57,20.5022,-10.0711,89.04,11,98,3.38
212,Chester,US,2021-10-10 20:03:57,40.1254,-75.8749,65.39,95,90,1.99
213,Krasnoarmeysk,RU,2021-10-10 20:03:58,51.0239,45.6969,50.29,50,0,2.66
214,Lujan,AR,2021-10-10 20:03:58,-34.5703,-59.105,71.22,67,100,3.0
215,Price,US,2021-10-10 20:03:58,39.5994,-110.8107,59.11,35,1,6.91
216,Langsa,ID,2021-10-10 20:03:58,4.4683,97.9683,75.25,96,100,1.81
217,Kirakira,SB,2021-10-10 20:03:59,-10.4544,161.9205,78.62,84,90,3.4
218,Bud,US,2021-10-10 20:03:59,39.447,-86.1758,84.15,63,62,12.88
219,Richards Bay,ZA,2021-10-10 20:03:59,-28.783,32.0377,62.6,62,74,6.33
220,Paranavai,BR,2021-10-10 20:03:10,-23.0731,-52.4653,67.8,83,93,12.21
221,Police,PL,2021-10-10 20:04:00,53.5521,14.5718,46.26,74,96,6.46
222,Thohoyandou,ZA,2021-10-10 20:04:00,-22.9456,30.485,60.39,76,97,11.79
223,Abu Dhabi,AE,2021-10-10 19:59:59,24.4667,54.3667,89.62,55,0,6.91
224,Limbang,MY,2021-10-10 20:04:01,4.75,115.0,80.71,97,100,1.7
225,Grindavik,IS,2021-10-10 20:04:01,63.8424,-22.4338,39.67,93,75,3.44
226,Kyshtovka,RU,2021-10-10 20:04:02,56.555,76.6271,28.04,73,51,6.87
227,Hithadhoo,MV,2021-10-10 20:00:33,-0.6,73.0833,82.9,67,98,12.21
228,Havoysund,NO,2021-10-10 20:04:03,70.9963,24.6622,43.68,88,100,6.55
229,Ambunti,PG,2021-10-10 20:04:03,-4.2365,142.8448,73.22,97,96,1.77
230,Lompoc,US,2021-10-10 20:03:28,34.6391,-120.4579,85.1,49,1,13.8
231,Balaipungut,ID,2021-10-10 20:04:04,1.05,101.2833,74.95,96,96,2.73
232,Pyinmana,MM,2021-10-10 20:04:04,19.7333,96.2167,74.98,97,99,2.01
233,Wyndham,US,2021-10-10 20:04:04,37.6985,-77.6125,76.89,82,90,5.99
234,Bogo,PH,2021-10-10 20:04:05,11.0517,124.0055,79.59,84,87,11.68
235,Natal,BR,2021-10-10 20:04:05,-5.795,-35.2094,83.05,69,20,13.8
236,Rundu,NA,2021-10-10 20:04:05,-17.9333,19.7667,74.39,10,0,7.87
237,Puerto Escondido,MX,2021-10-10 19:59:41,15.85,-97.0667,86.63,66,7,9.04
238,Rio Gallegos,AR,2021-10-10 20:01:37,-51.6226,-69.2181,50.43,53,67,8.81
239,Kaeo,NZ,2021-10-10 20:04:07,-35.1,173.7833,55.33,88,15,3.56
240,Aswan,EG,2021-10-10 20:04:07,24.0934,32.907,92.19,22,29,10.67
241,Lerwick,GB,2021-10-10 19:59:16,60.1545,-1.1494,50.0,82,16,21.65
242,Petropavlovsk-Kamchatskiy,RU,2021-10-10 20:04:08,53.0452,158.6483,39.79,100,90,8.95
243,Taquaritinga,BR,2021-10-10 19:59:12,-21.4061,-48.5047,67.87,88,100,8.48
244,Omboue,GA,2021-10-10 20:01:46,-1.5746,9.2618,77.54,83,100,5.68
245,Aksay,RU,2021-10-10 20:04:08,47.26,39.87,54.25,30,7,11.99
246,San Vicente,AR,2021-10-10 20:04:09,-26.6167,-54.1333,68.4,77,86,5.1
247,Wuwei,CN,2021-10-10 20:04:09,37.9281,102.6414,43.72,50,0,3.74
248,Nizwa,OM,2021-10-10 20:04:09,22.9333,57.5333,85.1,35,0,3.78
249,Kahului,US,2021-10-10 20:03:17,20.8947,-156.47,83.46,74,40,21.85
250,Urumqi,CN,2021-10-10 20:00:06,43.801,87.6005,40.15,56,0,4.47
251,Torbay,CA,2021-10-10 20:04:10,47.6666,-52.7314,47.28,75,30,5.01
252,Urengoy,RU,2021-10-10 20:04:10,65.9667,78.3667,26.78,72,27,10.51
253,Benguela,AO,2021-10-10 20:04:11,-12.5763,13.4055,74.21,83,98,1.28
254,Kulim,MY,2021-10-10 20:04:11,5.365,100.5618,79.5,90,93,3.22
255,Broken Hill,AU,2021-10-10 20:04:11,-31.95,141.4333,44.87,74,54,16.08
256,Borogontsy,RU,2021-10-10 20:04:12,62.6683,131.1683,33.69,98,100,6.11
257,San Cristobal,VE,2021-10-10 20:04:12,7.7669,-72.225,80.78,84,81,1.3
258,Trinidad,BO,2021-10-10 20:01:33,-14.8333,-64.9,102.52,26,96,9.71
259,Faya,SA,2021-10-10 20:00:25,18.3851,42.4509,65.66,30,32,12.08
260,Portland,US,2021-10-10 20:00:01,45.5234,-122.6762,60.1,79,100,3.0
261,Klyuchi,RU,2021-10-10 20:04:12,52.2667,79.1667,44.29,66,100,5.57
262,Kalemie,CD,2021-10-10 20:04:13,-5.9475,29.1947,79.16,49,100,5.06
263,Trairi,BR,2021-10-10 20:04:13,-3.2778,-39.2689,81.25,71,2,14.34
264,Mar Del Plata,AR,2021-10-10 20:04:13,-38.0023,-57.5575,57.13,1,14,15.01
265,Ambon,ID,2021-10-10 20:04:14,-3.6954,128.1814,77.14,88,20,5.75
266,Tuy Hoa,VN,2021-10-10 20:04:14,13.0833,109.3,77.02,90,100,4.88
267,Naze,JP,2021-10-10 19:59:41,28.3667,129.4833,76.89,87,63,16.11
268,Dzaoudzi,YT,2021-10-10 20:00:46,-12.7887,45.2699,76.89,83,0,6.91
269,Ginir,ET,2021-10-10 20:04:15,7.1333,40.7,62.26,78,100,3.22
270,Port Macquarie,AU,2021-10-10 19:59:41,-31.4333,152.9167,64.36,100,90,1.14
271,Zhangjiakou,CN,2021-10-10 20:00:22,40.81,114.8794,41.23,48,0,4.09
272,Abong Mbang,CM,2021-10-10 20:04:15,3.9833,13.1833,67.55,99,100,1.48
273,Esna,EG,2021-10-10 20:04:15,25.2934,32.554,90.01,19,2,7.09
274,Dombarovskiy,RU,2021-10-10 20:04:16,50.7587,59.5386,40.91,81,98,2.73
275,Paamiut,GL,2021-10-10 20:04:16,61.994,-49.6678,36.46,60,100,8.34
276,Mazamet,FR,2021-10-10 20:04:16,43.49,2.373,59.67,85,75,0.0
277,Vestmannaeyjar,IS,2021-10-10 20:04:17,63.4427,-20.2734,43.63,71,65,15.19
278,Anshun,CN,2021-10-10 20:04:17,26.25,105.9333,56.64,95,100,9.19
279,Thompson,CA,2021-10-10 19:59:30,55.7435,-97.8558,48.36,87,75,6.91
280,Oktyabrskoye,RU,2021-10-10 20:04:18,43.0645,44.7417,44.74,87,24,4.47
281,Muzhi,RU,2021-10-10 20:03:37,65.3667,64.6667,27.66,76,10,7.36
282,Mongu,ZM,2021-10-10 20:04:18,-15.2484,23.1274,85.14,16,69,7.02
283,Olafsvik,IS,2021-10-10 20:04:18,64.8945,-23.7142,40.08,60,31,2.28
284,Iskateley,RU,2021-10-10 19:59:26,67.6803,53.1512,30.94,92,100,11.43
285,Atar,MR,2021-10-10 20:04:19,20.5169,-13.0499,90.18,17,2,6.87
286,Omsukchan,RU,2021-10-10 20:04:19,62.5333,155.8,8.96,85,6,5.66
287,Mogadishu,SO,2021-10-10 20:04:19,2.0371,45.3438,78.42,88,17,14.27
288,Murgab,TM,2021-10-10 20:04:20,37.4966,61.9714,46.27,66,0,0.0
289,Rum,AT,2021-10-10 20:04:21,47.2978,11.4346,37.58,84,5,1.14
290,San Quintin,MX,2021-10-10 19:59:45,30.4833,-115.95,73.02,54,0,9.89
291,Mbandaka,CD,2021-10-10 20:00:30,0.0487,18.2603,71.82,98,78,3.76
292,Ust-Tsilma,RU,2021-10-10 20:04:21,65.441,52.1498,33.19,98,100,6.64
293,Hobyo,SO,2021-10-10 20:04:22,5.3505,48.5268,78.84,88,42,18.12
294,Nikolskoye,RU,2021-10-10 20:04:22,59.7035,30.7861,52.88,68,18,8.93
295,Bani Walid,LY,2021-10-10 20:04:22,31.7566,13.9942,71.01,63,11,13.65
296,Nhulunbuy,AU,2021-10-10 20:04:23,-12.2333,136.7667,74.01,83,75,0.0
