City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Carnarvon,AU,2021-10-11 01:12:17,-24.8667,113.6333,69.87,60,0,19.57,clear sky
60,Taywarah,AF,2021-10-11 01:12:18,33.35,64.4167,32.41,20,0,7.0,clear sky
61,Asau,RO,2021-10-11 01:12:18,46.4333,26.4,38.75,51,71,2.13,light snow
62,Bethel,US,2021-10-11 01:09:10,41.3712,-73.414,62.49,90,98,1.99,overcast clouds
63,Shu,KZ,2021-10-11 01:12:20,43.5983,73.7614,41.45,77,33,10.76,scattered clouds
64,Champerico,GT,2021-10-11 01:12:21,14.3,-91.9167,85.35,79,100,7.96,overcast clouds
65,Kabalo,CD,2021-10-11 01:12:21,-6.05,26.9167,73.67,78,100,2.66,overcast clouds
66,Qaqortoq,GL,2021-10-11 01:12:22,60.7167,-46.0333,30.7,51,14,1.97,few clouds
67,Kamenka,RU,2021-10-11 01:12:23,51.3223,42.7678,40.73,65,0,4.81,clear sky
68,Broome,US,2021-10-11 01:12:31,42.2506,-75.833,62.98,78,90,1.01,overcast clouds
69,Pucallpa,PE,2021-10-11 01:12:31,-8.3791,-74.5539,84.24,74,40,2.3,scattered clouds
70,Busselton,AU,2021-10-11 01:12:47,-33.65,115.3333,60.08,84,97,21.12,overcast clouds
71,Palembang,ID,2021-10-11 01:12:47,-2.9167,104.7458,80.69,89,40,3.44,light rain
72,Lagoa,PT,2021-10-11 01:12:47,39.05,-27.9833,70.3,88,100,20.45,overcast clouds
73,Ketchikan,US,2021-10-11 01:12:48,55.3422,-131.6461,48.67,87,90,3.44,light rain
74,Acarau,BR,2021-10-11 01:12:48,-2.8856,-40.12,79.3,75,4,16.15,clear sky
75,Castro,BR,2021-10-11 01:12:49,-24.7911,-50.0119,56.1,96,100,11.1,overcast clouds
76,Wewak,PG,2021-10-11 01:12:50,-3.5534,143.6268,85.17,68,58,5.53,broken clouds
77,Port Alfred,ZA,2021-10-11 01:12:50,-33.5906,26.891,57.04,77,96,16.42,overcast clouds
78,Hermanus,ZA,2021-10-11 01:12:51,-34.4187,19.2345,64.9,58,100,6.78,overcast clouds
79,Saint-Pierre,RE,2021-10-11 01:12:52,-21.3393,55.4781,73.04,72,75,4.61,broken clouds
80,Provideniya,RU,2021-10-11 01:12:52,64.3833,-173.3,33.91,80,90,11.18,overcast clouds
81,Ribeira Grande,PT,2021-10-11 01:12:56,38.5167,-28.7,70.02,89,100,21.32,overcast clouds
82,Itarema,BR,2021-10-11 01:12:58,-2.9248,-39.9167,79.2,74,5,14.99,clear sky
83,Fairbanks,US,2021-10-11 01:12:58,64.8378,-147.7164,37.6,94,90,4.61,light rain
84,Mugur-Aksy,RU,2021-10-11 01:12:59,50.35,90.5,25.12,75,100,4.5,overcast clouds
85,Nanortalik,GL,2021-10-11 01:13:01,60.1432,-45.2371,37.0,59,3,2.59,clear sky
86,Panorama,GR,2021-10-11 01:13:01,40.5878,23.0315,58.5,89,75,1.01,moderate rain
87,Avarua,CK,2021-10-11 01:13:03,-21.2078,-159.775,77.05,73,100,8.05,overcast clouds
88,Sitka,US,2021-10-11 01:13:03,57.0531,-135.33,47.98,78,39,3.2,scattered clouds
89,La Asuncion,VE,2021-10-11 01:13:05,11.0333,-63.8628,80.62,83,100,10.69,overcast clouds
90,Sabya,SA,2021-10-11 01:12:30,17.1495,42.6254,86.13,76,78,6.06,broken clouds
91,Rock Springs,US,2021-10-11 01:11:08,41.5875,-109.2029,50.05,52,1,5.01,clear sky
92,Bandarbeyla,SO,2021-10-11 01:13:06,9.4942,50.8122,78.76,86,87,23.02,overcast clouds
93,Lakatoro,VU,2021-10-11 01:13:07,-16.0999,167.4164,81.79,75,100,15.28,overcast clouds
94,Puerto Ayora,EC,2021-10-11 01:13:07,-0.7393,-90.3518,69.55,90,56,4.0,broken clouds
95,Namibe,AO,2021-10-11 01:13:07,-15.1961,12.1522,67.75,91,85,4.83,overcast clouds
96,Kampot,KH,2021-10-11 01:09:09,10.6167,104.1833,80.65,84,100,7.11,moderate rain
